Position,Name,Nationality,Team,Points
1,Juan Manuel Fangio (FAN),ARG,Mercedes-Benz,40
2,Stirling Moss (MOS),GBR,Mercedes-Benz,23
3,Eugenio Castellotti (CAS),ITA,Ferrari,12
4,Maurice  Trintignant (TRI),FRA,Ferrari,11.3
5,Nino Farina (FAR),ITA,Ferrari,10.3
6,Piero  Taruffi (TAR),ITA,Mercedes-Benz,9
7,Bob Sweikert (SWE),USA,Kurtis Kraft Offenhauser,8
8,Roberto Mieres (MIE),ARG,Maserati,7
9,Luigi Musso (MUS),ITA,Maserati,6
9,Jean Behra (BEH),FRA,Maserati,6
11,Karl Kling (KLI),GER,Mercedes-Benz,5
12,Jimmy Davies (DAV),USA,Kurtis Kraft Offenhauser,4
13,Paul Russo (RUS),USA,Kurtis Kraft Offenhauser,3
13,Tony  Bettenhausen (BET),USA,Kurtis Kraft Offenhauser,3
13,Johnny Thomson (THO),USA,Kuzma Offenhauser,3
13,Paul Frere (FRE),BEL,Ferrari,3
17,Jose Froilan Gonzalez (GON),ARG,Ferrari,2
17,Cesare Perdisa (PER),ITA,Maserati,2
17,Luigi  Villoresi (VIL),ITA,Lancia,2
17,Carlos Menditeguy (MEN),ARG,Maserati,2
21,Umberto  Maglioli (MAG),ITA,Ferrari,1.3
22,Hans  Herrmann (HER),GER,Mercedes-Benz,1
22,Walt  Faulkner (FAU),USA,Kurtis Kraft Offenhauser,1
22,Bill Homeier (HOM),USA,Kurtis Kraft Offenhauser,1
22,Bill  Vukovich  (VUK),USA,Kurtis Kraft Offenhauser,1
